regen start 05:59:00
codewiki: loading indexed files
codewiki: loading symbols for 448 files
codewiki: fetching graph edges for 448 files and 8664 symbols (limit 5000)
codewiki: loading leading content chunks
codewiki: reading metadata and hashing snapshot
codewiki: generating module doc module 8/67 crates/gcode/src/graph/code_graph
codewiki: generating module doc module 9/67 crates/gcode/src/graph/report
codewiki: generating module doc module 10/67 crates/gcode/src/index/import_resolution
codewiki: generating module doc module 11/67 crates/gcode/src/index/indexer
codewiki: generating module doc module 12/67 crates/gcode/src/index/parser
codewiki: generating module doc module 13/67 crates/gcode/src/search/fts
codewiki: generating module doc module 14/67 crates/gcode/src/vector/code_symbols
codewiki: generating module doc module 15/67 crates/gwiki/src/commands/ask
codewiki: generating module doc module 16/67 crates/gwiki/src/commands/citation_quality
codewiki: generating module doc module 17/67 crates/gwiki/src/commands/refresh
codewiki: generating module doc module 18/67 crates/gwiki/src/ingest/document
codewiki: generating module doc module 19/67 crates/gwiki/src/ingest/pdf
codewiki: generating module doc module 20/67 crates/gwiki/src/ingest/video
codewiki: generating module doc module 21/67 crates/gcode/assets/import_roots
codewiki: generating module doc module 22/67 crates/gcode/src/cli
codewiki: generating module doc module 23/67 crates/gcode/src/commands
codewiki: generating module doc module 24/67 crates/gcode/src/config
codewiki: generating module doc module 25/67 crates/gcode/src/db
codewiki: generating module doc module 26/67 crates/gcode/src/dispatch
codewiki: generating module doc module 27/67 crates/gcode/src/graph
codewiki: generating module doc module 28/67 crates/gcode/src/index
codewiki: generating module doc module 29/67 crates/gcode/src/projection
codewiki: generating module doc module 30/67 crates/gcode/src/search
codewiki: generating module doc module 31/67 crates/gcode/src/setup
codewiki: generating module doc module 32/67 crates/gcode/src/vector
codewiki: generating module doc module 33/67 crates/gcore/assets/postgres-pgsearch
codewiki: generating module doc module 34/67 crates/gcore/src/ai
codewiki: generating module doc module 35/67 crates/gcore/src/config
codewiki: generating module doc module 36/67 crates/gcore/src/provisioning
codewiki: generating module doc module 37/67 crates/gcore/src/qdrant
codewiki: generating module doc module 38/67 crates/gsqz/src/primitives
codewiki: generating module doc module 39/67 crates/gwiki/src/ai
codewiki: generating module doc module 40/67 crates/gwiki/src/commands
codewiki: generating module doc module 41/67 crates/gwiki/src/compile
codewiki: generating module doc module 42/67 crates/gwiki/src/graph
codewiki: generating module doc module 43/67 crates/gwiki/src/ingest
codewiki: generating module doc module 44/67 crates/gwiki/src/search
codewiki: generating module doc module 45/67 crates/gwiki/src/sources
codewiki: generating module doc module 46/67 crates/gwiki/src/support
codewiki: generating module doc module 47/67 crates/gcode/assets
codewiki: generating module doc module 48/67 crates/gcode/contract
codewiki: generating module doc module 49/67 crates/gcode/src
codewiki: generating module doc module 50/67 crates/gcore/assets
codewiki: generating module doc module 51/67 crates/gcore/src
codewiki: generating module doc module 52/67 crates/ghook/schemas
codewiki: generating module doc module 53/67 crates/ghook/src
codewiki: generating module doc module 54/67 crates/gloc/src
codewiki: generating module doc module 55/67 crates/gsqz/src
codewiki: generating module doc module 56/67 crates/gwiki/contract
codewiki: generating module doc module 57/67 crates/gwiki/src
codewiki: generating module doc module 58/67 docs/evidence/wiki-parity-2026-06
codewiki: generating module doc module 59/67 crates/gcode
codewiki: generating module doc module 60/67 crates/gcore
codewiki: generating module doc module 61/67 crates/ghook
codewiki: generating module doc module 62/67 crates/gloc
codewiki: generating module doc module 63/67 crates/gsqz
codewiki: generating module doc module 64/67 crates/gwiki
codewiki: generating module doc module 65/67 docs/evidence
codewiki: generating module doc module 66/67 crates
codewiki: generating module doc module 67/67 docs
codewiki: generating repo overview
codewiki: generating architecture docs
codewiki: generating architecture doc subsystem 1/7 crates/gcode
codewiki: generating architecture doc subsystem 2/7 crates/gcore
codewiki: generating architecture doc subsystem 3/7 crates/ghook
codewiki: generating architecture doc subsystem 4/7 crates/gloc
codewiki: generating architecture doc subsystem 5/7 crates/gsqz
codewiki: generating architecture doc subsystem 6/7 crates/gwiki
codewiki: generating architecture doc subsystem 7/7 docs/evidence
codewiki: generating architecture narrative
codewiki: generating onboarding docs
codewiki: generating hotspots docs
codewiki: generating ownership docs
codewiki: generating changes docs
wrote 372 file docs, 67 module docs, and repo.md to .gobby/wiki
EXIT=0 end 06:34:12
